Period,ConsConf_Change,CompLead_Change,BusConf_Change,Emp_Change,InvToSales_Change,PMI_Change,SP500_Change,MfgOrdDur_Change,BldgPerm_Change,Sales_Change,FedFunds_Change,DJI_Change,Payroll_Change,PersCons_Change
13-Jun,0.0074,0.0029,-0.0002,0.0024,-0.0078,-0.0078,0.0438,0.1376,0.0204,0.0062,-0.3571,0.0227,0.0171,0.0052
13-Jul,0.0048,0.0024,0.0049,0.0034,-0.0077,0.0927,0.0624,-0.0219,-0.0286,0.0144,-0.4000,0.0445,0.0009,0.0079
13-Aug,-0.0014,0.0016,0.0079,0.0013,0.0078,0.1367,0.0184,-0.0408,-0.0679,0.0083,-0.2727,-0.0202,-0.0024,0.0080
13-Sep,-0.0070,0.0008,0.0070,0.0018,0.0078,0.1041,0.0423,-0.0394,0.0673,0.0029,-0.1111,0.0148,-0.0009,0.0092
13-Oct,-0.0090,0.0003,0.0043,-0.0046,0.0000,0.0181,0.0308,0.0425,0.0456,0.0012,0.0000,0.0030,0.0145,0.0108
13-Nov,-0.0052,0.0000,0.0014,0.0007,0.0000,0.0287,0.0679,0.0746,0.1003,0.0047,0.0000,0.0862,0.0150,0.0151
13-Dec,0.0017,0.0001,-0.0012,0.0011,0.0000,0.0142,0.0715,-0.0029,-0.0020,0.0124,0.1250,0.0956,0.0087,0.0124
14-Jan,0.0059,0.0002,-0.0033,0.0081,0.0155,-0.0904,0.0595,-0.0121,-0.0291,-0.0016,-0.2222,0.0098,-0.0183,0.0097
14-Feb,0.0056,0.0006,-0.0025,0.0037,0.0078,-0.0716,0.0188,-0.0356,-0.0096,0.0097,-0.1250,0.0146,-0.0167,0.0075
14-Mar,0.0028,0.0012,-0.0002,0.0052,0.0000,-0.0579,0.0308,0.0131,0.0642,0.0156,-0.1111,-0.0072,-0.0080,0.0129
14-Apr,0.0018,0.0018,0.0024,0.0035,-0.0076,0.0702,0.0230,0.0649,0.0789,0.0361,0.2857,0.0562,0.0209,0.0149
14-May,0.0009,0.0020,0.0025,0.0045,0.0000,0.0414,0.0400,0.0124,-0.0242,0.0240,0.2857,0.0242,0.0221,0.0136
14-Jun,0.0003,0.0017,0.0019,0.0035,0.0078,0.0298,0.0448,0.0187,-0.0584,0.0122,0.2500,0.0224,0.0192,0.0107
14-Jul,-0.0005,0.0011,0.0020,0.0030,0.0000,0.0401,0.0584,0.2303,-0.0250,0.0028,0.0000,-0.0011,0.0030,0.0113
14-Aug,0.0006,0.0006,0.0027,0.0027,0.0000,0.0650,0.0380,0.0261,0.0377,0.0113,0.0000,0.0228,-0.0008,0.0152
14-Sep,0.0029,0.0001,0.0024,0.0020,0.0077,0.0235,0.0237,-0.0104,0.0463,0.0064,-0.1000,0.0129,-0.0001,0.0114
14-Oct,0.0059,-0.0004,0.0016,0.0065,0.0154,0.0333,-0.0182,-0.2070,0.0665,0.0080,0.0000,0.0499,0.0153,0.0142
14-Nov,0.0085,-0.0008,-0.0006,0.0048,0.0154,-0.0051,0.0423,-0.0432,0.0268,0.0032,0.0000,0.0427,0.0159,0.0110
14-Dec,0.0104,-0.0014,-0.0032,0.0031,0.0229,-0.0194,0.0306,-0.0505,0.0075,-0.0023,0.3333,0.0458,0.0108,0.0100
15-Jan,0.0101,-0.0020,-0.0060,-0.0010,0.0379,-0.0932,0.0469,-0.0161,-0.0481,-0.0130,0.2222,-0.0130,-0.0167,0.0031
15-Feb,0.0066,-0.0025,-0.0071,0.0002,0.0455,-0.0988,0.0184,-0.0399,0.0503,-0.0219,0.2222,0.0171,-0.0141,0.0025
15-Mar,0.0017,-0.0028,-0.0060,-0.0008,0.0224,-0.0721,0.0125,0.0295,0.0084,0.0061,-0.0833,-0.0026,-0.0087,0.0094
15-Apr,-0.0015,-0.0029,-0.0038,0.0022,0.0000,-0.0374,0.0329,0.0007,0.1020,0.0130,0.0909,0.0394,0.0200,0.0116
15-May,-0.0023,-0.0029,-0.0012,0.0033,-0.0072,-0.0019,0.0143,0.0063,0.1136,0.0280,0.0909,-0.0067,0.0207,0.0144
15-Jun,-0.0012,-0.0032,0.0001,0.0036,0.0073,0.0388,0.0093,0.0120,0.2632,0.0082,0.1818,-0.0088,0.0186,0.0092
15-Jul,-0.0018,-0.0038,-0.0008,-0.0006,0.0073,0.0233,-0.0003,0.0201,-0.0374,0.0170,0.0833,-0.0084,0.0033,0.0120
15-Aug,-0.0029,-0.0046,-0.0033,-0.0005,0.0146,-0.0322,-0.0341,0.0296,-0.0765,0.0067,0.1667,-0.0823,-0.0020,0.0086
15-Sep,-0.0047,-0.0053,-0.0052,-0.0003,0.0072,-0.0617,-0.0738,-0.0513,-0.1746,0.0066,0.0769,-0.0758,-0.0014,0.0096
15-Oct,-0.0033,-0.0054,-0.0058,0.0020,0.0145,-0.0493,-0.0331,-0.0190,0.0282,-0.0035,-0.0769,-0.0015,0.0134,0.0064
15-Nov,-0.0002,-0.0049,-0.0054,0.0025,0.0072,-0.0489,0.0200,-0.0056,0.0932,0.0007,-0.1429,0.0721,0.0150,0.0073
15-Dec,0.0024,-0.0042,-0.0039,0.0064,0.0144,-0.0398,0.0564,-0.0010,0.0827,0.0042,0.7143,0.0700,0.0110,0.0073
16-Mar,-0.0006,-0.0020,0.0053,0.0029,0.0071,0.0747,-0.0156,-0.0104,-0.0846,-0.0042,0.5000,0.0149,-0.0087,0.0049
16-Apr,-0.0005,-0.0010,0.0057,-0.0002,0.0000,0.0539,0.0818,0.0108,-0.0251,0.0114,0.0882,0.0794,0.0199,0.0130
16-May,0.0010,-0.0004,0.0047,-0.0005,-0.0070,0.0364,0.0846,0.0291,-0.0142,0.0104,-0.0263,0.0769,0.0184,0.0132
