Period,ConsConf_Change,CompLead_Change,BusConf_Change,Emp_Change,InvToSales_Change,PMI_Change,SP500_Change,MfgOrdDur_Change,BldgPerm_Change,Sales_Change,FedFunds_Change,DJI_Change,Payroll_Change,PersCons_Change
18-10-12,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,-0.03,0.00,0.14,-0.03,0.01,0.00
18-11-12,0.00,0.00,0.00,0.00,-0.01,-0.04,-0.03,0.00,0.04,0.00,0.00,-0.01,0.00,0.00
18-12-12,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.06,0.01,0.00,0.00,0.01,0.00,0.00
18-01-13,0.00,0.00,0.00,0.00,0.01,0.05,0.04,-0.06,-0.01,0.01,-0.13,0.06,-0.02,0.00
18-02-13,0.00,0.00,0.00,0.00,-0.02,0.02,0.02,0.06,0.05,0.01,0.07,0.01,0.01,0.01
18-03-13,0.00,0.00,0.00,0.00,0.02,-0.05,0.03,-0.08,-0.04,-0.01,-0.07,0.04,0.01,0.00
18-04-13,0.00,0.00,0.00,0.00,0.01,-0.01,0.01,0.04,0.09,0.00,0.07,0.02,0.01,0.00
18-05-13,0.00,0.00,0.00,0.00,-0.02,-0.03,0.04,0.05,0.00,0.00,-0.27,0.02,0.01,0.00
18-06-13,0.00,0.00,0.00,0.00,0.00,0.04,-0.01,0.04,-0.06,0.01,-0.18,-0.01,0.00,0.00
18-07-13,0.00,0.00,0.00,0.00,0.01,0.09,0.03,-0.11,0.04,0.01,0.00,0.04,-0.01,0.00
18-08-13,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,-0.04,0.00,-0.11,-0.04,0.00,0.00
18-09-13,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.07,0.00,0.00,0.02,0.00,0.01
18-10-13,0.00,0.00,0.00,0.00,0.00,0.00,0.02,-0.03,0.02,0.00,0.13,0.03,0.01,0.00
18-11-13,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.01,0.00,-0.11,0.04,0.00,0.01
18-12-13,0.00,0.00,0.00,0.00,0.00,-0.01,0.01,-0.03,-0.03,0.01,0.13,0.03,0.00,0.00
18-01-14,0.00,0.00,0.00,0.00,0.02,-0.10,0.01,-0.04,-0.01,-0.01,-0.22,-0.05,-0.02,0.00
18-02-14,0.00,0.00,0.00,0.00,-0.01,0.04,0.00,0.04,0.03,0.01,0.00,0.04,0.01,0.01
18-03-14,0.00,0.00,0.00,0.00,-0.01,0.01,0.03,0.02,0.05,0.01,0.14,0.01,0.01,0.01
18-04-14,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.01,0.00,0.01,0.13,0.01,0.01,0.00
18-05-14,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-0.02,-0.07,0.00,0.00,0.01,0.01,0.00
18-06-14,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.00,0.11,0.01,0.00,0.00
18-07-14,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.22,0.04,0.00,-0.10,-0.02,-0.01,0.00
18-08-14,0.00,0.00,0.00,0.00,0.00,0.03,-0.01,-0.18,-0.01,0.01,0.00,0.03,0.00,0.01
18-09-14,0.00,0.00,0.00,0.00,0.01,-0.04,0.02,-0.01,0.02,0.00,0.00,0.00,0.01,0.00
18-10-14,0.00,0.00,0.00,0.01,0.01,0.04,-0.03,-0.02,0.06,0.00,0.00,0.02,0.01,0.01
18-11-14,0.00,0.00,0.00,0.00,0.00,-0.01,0.06,-0.01,-0.05,0.00,0.00,0.03,0.00,0.00
18-12-14,0.00,0.00,0.00,0.00,0.02,-0.06,0.01,-0.02,0.00,-0.01,0.33,0.00,0.00,0.00
18-01-15,0.00,0.00,0.00,0.00,0.02,-0.04,-0.01,0.01,0.00,-0.01,-0.08,-0.04,-0.02,0.00
18-02-15,0.00,0.00,0.00,0.00,0.01,-0.01,0.03,-0.03,0.05,-0.01,0.00,0.06,0.01,0.00
18-03-15,0.00,0.00,0.00,0.00,-0.01,-0.03,0.00,0.05,-0.04,0.02,0.00,-0.02,0.01,0.01
18-04-15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.02,0.09,0.00,0.09,0.00,0.01,0.00
18-05-15,0.00,0.00,0.00,0.00,0.00,0.03,0.01,-0.03,0.07,0.01,0.00,0.01,0.01,0.01
18-06-15,0.00,0.00,0.00,0.00,0.01,0.01,-0.01,0.06,0.09,0.00,0.08,-0.02,0.00,0.00
18-07-15,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,-0.01,-0.17,0.01,0.00,0.00,-0.01,0.00
18-08-15,0.00,0.00,0.00,0.00,0.01,-0.03,-0.03,-0.02,0.02,0.00,0.08,-0.07,0.00,0.00
18-09-15,0.00,0.00,0.00,0.00,0.00,-0.02,-0.05,-0.03,-0.03,0.00,0.00,-0.02,0.00,0.00
18-10-15,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.03,0.04,0.00,-0.14,0.09,0.01,0.00
18-11-15,0.00,0.00,0.00,0.00,0.00,-0.03,0.03,-0.01,0.09,0.00,0.00,0.00,0.00,0.00
18-12-15,0.00,0.00,0.00,0.00,0.01,-0.01,-0.01,-0.02,-0.04,0.00,1.00,-0.02,0.00,0.00
18-01-16,0.00,0.00,0.00,0.00,0.01,0.00,-0.07,0.03,-0.02,-0.01,0.42,-0.06,-0.02,0.00
18-02-16,0.00,0.00,0.00,0.00,0.00,0.03,-0.01,-0.05,0.00,0.00,0.12,0.00,0.01,0.00
18-03-16,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.01,-0.07,0.00,-0.05,0.07,0.01,0.00
18-04-16,0.00,0.00,0.00,0.00,0.00,-0.02,0.03,0.05,0.04,0.01,0.03,0.01,0.01,0.01
18-05-16,0.00,0.00,0.00,0.00,-0.01,0.01,-0.01,-0.03,0.01,0.00,0.00,0.00,0.00,0.00
18-06-16,0.00,0.00,0.00,0.00,-0.01,0.04,0.01,-0.05,0.01,0.01,0.03,0.01,0.01,0.01
18-07-16,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,0.04,-0.02,0.00,0.03,0.03,-0.01,0.00
18-08-16,0.00,0.00,0.00,0.00,0.00,-0.06,0.01,0.01,0.02,0.00,0.03,0.00,0.00,0.00
18-09-16,0.00,0.00,0.00,0.00,0.00,0.04,-0.01,-0.01,0.06,0.01,0.00,-0.01,0.00,0.01
